IBANEZ GSA60-WNF, https://www.muztorg.ru/files/1yj/a3q/64p/z28/4sw/8cg/wcs/wc0/w/1yja3q64pz284sw8cgwcswc0w.jpg, 22, 6, H-s-s, на болтах, клён, агатис,
IBANEZ GRG121SP-BKN, https://www.muztorg.ru/files/477/t0b/awl/f6s/080/g8c/sko/goc/w/477t0bawlf6s080g8cskogocw.jpg, 24, 6, H-h, на болтах, клён, тополь,
IBANEZ GRG140-WH, https://www.muztorg.ru/files/ye8/5ok/327/y8w/cs0/o8c/40g/wo4/ye85ok327y8wcs0o8c40gwo4.jpg, 24, 6, H-s-s, на болтах, клён, липа,
IBANEZ GSA60-BS, https://www.muztorg.ru/files/8fy/azx/9wk/c08/ccw/ssg/sgo/84g/o/8fyazx9wkc08ccwssgsgo84go.jpg, 20, 6, H-s-s, на болтах, клён, агатис,
JET JS-400 SB, https://www.muztorg.ru/files/56a/ae3/u5n/zwg/o80/g0o/w8w/gkw/w/56aae3u5nzwgo80g0ow8wgkww.jpg, 22, 6, H-s-s, на болтах, клён, липа,
FENDER SQUIER Affinity 2021 Stratocaster MN Black, https://www.muztorg.ru/files/4nq/l43/lo3/a0w/c4s/cwc/sw4/s0w/4/4nql43lo3a0wc4scwcsw4s0w4.jpeg, 21, 6, S-s-s, на болтах, клён, тополь,
IBANEZ GRG121SP-GYC, https://www.muztorg.ru/files/2mh/l70/l23/bsw/s8w/kwk/c00/4ss/c/2mhl70l23bsws8wkwkc004ssc.jpg, 24, 6, H-h, на болтах, клён, тополь,
S by Solar SB4.6FRFBR, https://www.muztorg.ru/files/9av/okg/mxo/ysk/gcc/s8o/8ww/kc4/9avokgmxoyskgccs8o8wwkc40.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
[object Object]EART GW2 Black, https://www.muztorg.ru/files/dyc/5ap/mo0/tcg/8g0/g44/g8k/w0o/s/dyc5apmo0tcg8g0g44g8kw0os.jpg, 24, 6, H-h, на болтах, клён, падук,
JET JS-300 BK, https://www.muztorg.ru/files/bb3/eet/x92/mo8/swg/c8o/c0w/ogw/bb3eetx92mo8swgc8oc0wogw.jpeg, 22, 6, S-s-s, на болтах, клён, липа,
IBANEZ RGA42EX-BAM, https://www.muztorg.ru/files/bbx/l4y/ns6/5ck/k4s/0oc/ok8/s44/w/bbxl4yns65ckk4s0ocok8s44w.jpg, 6, H-h, на болтах, клён, меранти, ятоба,
ROCKDALE Stars Plus HT HSS Maple White, https://www.muztorg.ru/files/dup/vml/w7f/kg8/8o8/so0/cc8/co0/k/dupvmlw7fkg88o8so0cc8co0k.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
JET JT-300 SB, https://www.muztorg.ru/files/ljx/cfm/0bh/344/cw0/88o/s8g/ggk/ljxcfm0bh344cw088os8gggk.jpeg, 22, 6, S-s, на болтах, клён, липа,
IBANEZ RG631ALF-BCM, https://www.muztorg.ru/files/btg/p9t/zbc/woc/gko/ogs/g00/s00/o/btgp9tzbcwocgkoogsg00s00o.jpg, 24, 6, H-h, на болтах, орех, ньятон,
IBANEZ GRG121DXL-WNF, https://www.muztorg.ru/files/5dy/3a2/xfy/t4w/gc8/oco/0sg/og8/o/5dy3a2xfyt4wgc8oco0sgog8o.jpg, 24, 6, H-h, на болтах, клён, окуме,
TERRIS TPACK-1 BK, https://www.muztorg.ru/files/csj/svd/rte/hc8/0og/0oo/ss8/w40/4/csjsvdrtehc80og0ooss8w404.jpeg, 22, 6, S-s-s, на болтах, клён, липа,
IBANEZ S521-MOL, https://www.muztorg.ru/files/rpm/afy/mpg/5c0/0oc/soc/4sw/0gs/rpmafympg5c00ocsoc4sw0gs.jpg, 24, 6, H-h, на болтах, клён, красное дерево,
JET JS-300 SFG, https://www.muztorg.ru/files/5ab/vcq/8hb/8w8/osw/wks/8o8/4cg/c/5abvcq8hb8w8oswwks8o84cgc.jpg, 22, 6, S-s-s, на болтах, клён, липа,
IBANEZ GRG120QASP-BGD, https://www.muztorg.ru/files/3h2/puz/jl4/j40/o0o/088/gk8/w8w/g/3h2puzjl4j40o0o088gk8w8wg.jpg, 24, 6, H-h, на болтах, клён, тополь,
IBANEZ S520-WK, https://www.muztorg.ru/files/3mq/glz/wir/w6c/8oc/4gc/w0o/0gs/k/3mqglzwirw6c8oc4gcw0o0gsk.jpg, 24, 6, H-h, на болтах, клён, красное дерево,
ROCKDALE Stars Plus HT HH Maple White, https://www.muztorg.ru/files/bj8/vd0/ili/s08/og4/o4c/4go/0c8/8/bj8vd0ilis08og4o4c4go0c88.jpg, 22, 6, H-h, на болтах, клён, тополь,
FENDER SQUIER Affinity 2021 Telecaster MN Butterscotch Blonde, https://www.muztorg.ru/files/egx/po4/bqz/808/k0c/48w/so0/8w4/w/egxpo4bqz808k0c48wso08w4w.jpeg, 21, 6, S-s, на болтах, клён, тополь,
IBANEZ RGD71ALMS-BAM, https://www.muztorg.ru/files/4ai/p2i/z2d/su8/cos/wcg/sc0/cgc/c/4aip2iz2dsu8coswcgsc0cgcc.jpg, 24, 7, H-h, на болтах, орех, ньятон,
Schecter BANSHEE-6 SGR SBK, https://www.muztorg.ru/files/7uu/2tu/dld/ao8/04g/448/g8g/8g0/s/7uu2tudldao804g448g8g8g0s.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
IBANEZ AZES40-PRB, https://www.muztorg.ru/files/b8z/ucx/cq3/jsw/kog/kgs/ksw/w0o/c/b8zucxcq3jswkogkgsksww0oc.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
TERRIS TST-39 BK, https://www.muztorg.ru/files/9bh/sv5/6eg/0g8/884/kc0/00g/o00/k/9bhsv56eg0g8884kc000go00k.jpeg, 22, 6, S-s-s, на болтах, клён, липа,
ROCKDALE Stars Plus HSS Maple Black, https://www.muztorg.ru/files/a5o/209/hcf/94w/888/ksc/gkc/g04/8/a5o209hcf94w888kscgkcg048.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
EART GW2 Natural, https://www.muztorg.ru/files/4cc/ov3/2tm/cqo/g8g/g0c/wks/sgg/4/4ccov32tmcqog8gg0cwkssgg4.jpg, 24, 6, H-h, на болтах, клён, падук,
EART NK-C3 Trans Purple, https://www.muztorg.ru/files/9iz/677/xsg/kkk/swo/8o4/o4c/0ss/o/9iz677xsgkkkswo8o4o4c0sso.jpg, 22, 6, H-s-s, на болтах, клён, красное дерево,
